id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
e4da6a894,48000,633600,4800,2786.925,111.57982,19185.627,0.07585922,4743.4404,2.745836,9.692295
2889f3bf2,48000,638400,4800,2955.5945,101.31827,19441.25,0.08483048,4927.1104,2.5808163,8.7204685
306b910a5,48000,643200,4800,3021.363,118.79836,19229.062,0.086784616,5014.211,2.5110788,8.310339
458ce7008,48000,648000,4800,3217.1462,131.51514,19674.062,0.07660365,5147.351,2.5062392,8.133621
a82a8e8a6,48000,652800,4800,3640.5,143.07664,19685.0,0.090023614,5518.6855,2.1819048,6.5006256
5310645f1,48000,657600,4800,3388.0632,144.79024,19663.125,0.08824951,5283.624,2.3541274,7.455625
5a56ec6e7,48000,662400,4800,3242.8103,116.892555,19664.062,0.09025578,5165.595,2.4124181,7.715332
00dbe5d3c,48000,667200,4800,3200.2202,102.93987,19654.062,0.08964675,5246.3804,2.3908179,7.5712256
ef4e71fd2,48000,672000,4800,2846.9822,84.43829,18770.312,0.07532547,4768.099,2.7011805,9.47065
075bab0a3,48000,676800,4800,2872.6514,90.01776,17916.562,0.07697257,4760.44,2.6514015,9.278247
34ba365f1,48000,681600,4800,2901.083,110.69078,16946.877,0.07935184,4735.452,2.636512,9.336302
9389bec8a,48000,686400,4800,4136.594,111.69721,19687.5,0.07913005,6544.3477,1.7617484,4.4481564
ba70894b3,48000,691200,4800,5281.9966,72.08653,19700.938,0.09436242,7291.053,1.3110827,2.9758325
307a57e5a,48000,696000,4800,5642.8203,58.724895,19710.938,0.10196368,7572.16,1.1771212,2.5928874
a95ccbddd,48000,700800,4800,4321.078,79.43293,19695.625,0.091952465,6594.3384,1.7044332,4.3521338
2775c1fdf,48000,705600,4800,4452.432,95.60005,19696.25,0.08443579,6826.227,1.6258755,3.983703
692842142,48000,710400,4800,5164.8223,78.74356,19703.75,0.10147244,7342.442,1.3149171,2.9581528
668cf91cc,48000,715200,4800,3891.3567,111.197784,19687.5,0.10055584,6322.5327,1.8281043,4.8184295
65a782e04,48000,720000,4800,3582.0532,142.60066,19683.438,0.08527794,5961.328,2.0681448,5.8202834
8777346e4,48000,724800,4800,2843.1875,147.08429,19076.562,0.08280051,4905.9927,2.6217678,8.935088
b2845fa04,48000,729600,4800,3096.042,102.84043,19489.062,0.09354056,5105.0073,2.432793,7.9091334
189607a57,48000,734400,4800,3069.8215,63.028088,17898.438,0.10983162,4863.3975,2.40731,8.005468
90b328940,48000,739200,4800,4369.8193,55.55242,19537.5,0.117628634,6284.99,1.7094991,4.5433664
8f4088e6b,48000,744000,4800,3668.6775,59.252655,18636.25,0.12673339,5536.592,2.052903,6.223816
abe833cfc,48000,748800,4800,3135.0952,83.56134,19202.188,0.1066626,5180.4517,2.3825953,7.634345
85a5ed6a9,48000,753600,4800,4409.6016,88.3428,19212.188,0.10172288,6566.1934,1.7066587,4.672741
8c23ea475,48000,758400,4800,4854.949,78.2254,19701.875,0.10251785,6989.481,1.43962,3.468644
aca29721e,48000,763200,4800,4159.5586,109.20008,19687.5,0.096740395,6523.7456,1.7345121,4.4069457
561670b31,48000,768000,4800,2871.4424,106.04544,17617.5,0.07855639,5025.2876,2.592611,8.914532
28fc4bd1c,48000,772800,4800,3909.4187,77.823265,19690.0,0.09892446,6150.3594,1.909754,5.1699243
864f1d360,48000,777600,4800,3639.3354,84.58085,19687.5,0.0993236,5931.199,2.0108466,5.61789
38fdfffc3,48000,782400,4800,3465.7244,73.77761,19677.5,0.091006875,5810.0312,2.1480072,6.2260957
