index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
5131200,48000,4800,1115.5664,2170.4766,5623.4375,0.04757283,2355.9268,4.761963,35.80539,19c77307e
5136000,48000,4800,548.75195,736.4876,1827.1875,0.014860832,1407.0634,8.851917,104.24062,b1dc859c5
5140800,48000,4800,1112.0009,318.94427,4721.5625,0.045547936,2310.8125,5.18068,37.170067,643dbbdae
5145600,48000,4800,1040.555,89.59856,5515.9375,0.050604854,2510.862,4.563891,27.338106,a5a3ff375
5150400,48000,4800,1038.3954,418.918,5615.9375,0.04745147,2497.049,4.6648517,30.923203,7f5a8f8ad
5155200,48000,4800,699.0625,494.58124,2794.375,0.025247678,1802.9823,7.317779,70.42407,b4d3f19ed
5160000,48000,4800,1966.607,1179.8461,6706.25,0.05857493,2512.5972,3.40249,19.052734,bcab871ba
5164800,48000,4800,1289.2562,183.09991,7037.5,0.07114458,2865.7654,4.005162,22.305178,9e23e1f96
5169600,48000,4800,774.98157,46.768547,2941.875,0.038784392,2246.8862,6.19583,46.00829,33bc97ecd
5174400,48000,4800,1125.5458,28.830286,5783.4375,0.062053584,2717.8542,4.5824275,26.456049,f40a1be89
5179200,48000,4800,1395.6775,447.92365,7262.1875,0.070874326,2853.5212,3.760445,20.71707,50ae14b74
5184000,48000,4800,622.842,82.73694,2068.4375,0.021664362,1673.2902,7.642456,74.8021,4ed5ae931
5188800,48000,4800,815.2083,337.41876,3620.9375,0.035653953,2047.0579,5.909699,44.850792,3aef68246
5193600,48000,4800,1478.1578,586.2928,7665.625,0.07699023,2940.3933,3.6247916,18.710781,5b9733a3f
5198400,48000,4800,499.3972,837.1306,1475.0,0.017499235,1499.8164,9.04484,102.33354,b82a1f812
