id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
8a0f179ed,48000,17227200,4800,1155.2427,158.79567,5335.0,0.04269098,2374.1167,5.2957864,38.512768
0cf46e9dc,48000,17232000,4800,908.3598,22.571095,3010.0,0.030903779,1999.6244,6.25631,48.897854
1a580f42c,48000,17236800,4800,1590.8265,151.35133,5656.25,0.062414464,2598.6526,4.628578,30.821842
8a3e0ce8a,48000,17241600,4800,3125.884,382.7896,10785.0,0.13276646,3883.17,1.8747457,7.0004816
fb7dbdfe6,48000,17246400,4800,1887.23,79.39473,8011.875,0.0723627,2989.4028,2.7785943,12.398802
a7be2639d,48000,17251200,4800,1854.7952,157.83925,8284.6875,0.07740073,3149.0637,2.9931703,13.657745
a96a13c7e,48000,17256000,4800,1523.826,18.490566,7387.1875,0.06750814,3014.8875,3.884127,20.08171
955c05cde,48000,17260800,4800,994.6923,7.557631,4313.125,0.045341276,2431.9883,5.447619,35.800617
fef8686e3,48000,17265600,4800,1141.349,6.279623,5600.0,0.056215197,2695.803,4.78576,28.28735
f384616e4,48000,17270400,4800,1358.3182,2.7184863,6933.75,0.070448115,3037.218,4.08024,21.056879
26f4632ec,48000,17275200,4800,1664.8613,2.4970434,8429.375,0.09197091,3409.6416,3.4054508,15.359881
f3b939df3,48000,17280000,4800,1812.0898,3.0339959,9324.375,0.10463269,3635.444,3.1961598,13.552718
b257977b2,48000,17284800,4800,2048.1826,1.847233,10841.875,0.1231913,3896.238,2.8613496,11.174938
4b66854d4,48000,17289600,4800,2642.4963,2.1376574,14491.563,0.15960144,4520.7656,2.337697,7.8699293
3a464cae0,48000,17294400,4800,2634.82,8.871686,14407.187,0.16239226,4501.632,2.3339822,7.8919215
d6dd79991,48000,17299200,4800,4608.2314,2.9783866,17166.562,0.28178385,5244.3735,1.362108,4.1541505
ed829e34a,48000,17304000,4800,4899.263,2.1949718,17783.438,0.29148844,5414.3677,1.2630823,3.8056693
a8283db66,48000,17308800,4800,5270.596,2.738519,17732.812,0.28468442,5409.905,1.0804722,3.446434
5fa0f207a,48000,17313600,4800,5416.305,1.3535916,17702.188,0.3146046,5318.768,1.0897154,3.469046
94d40b109,48000,17318400,4800,5729.9517,0.69401324,18111.562,0.3327886,5432.0767,1.0634284,3.340259
aab7be9cd,48000,17323200,4800,4928.6777,0.66135895,17413.438,0.31115383,5281.4004,1.2462193,3.7984598
c076e7353,48000,17328000,4800,3078.8113,974.64124,11955.0,0.16500139,3948.695,2.4754012,11.571142
2989354b1,48000,17332800,4800,1229.5046,104.59535,4931.25,0.043380864,2485.083,5.040798,33.08387
f05212212,48000,17337600,4800,2019.0542,932.65875,8495.625,0.04584727,2937.323,3.1847565,18.265469
f9783f8bf,48000,17342400,4800,1049.5317,42.18056,3310.625,0.01989057,1740.7078,6.1149316,52.623722
d8cb77504,48000,17347200,4800,1392.62,138.78973,5483.125,0.051879287,2545.858,4.672592,28.70501
7d233543b,48000,17352000,4800,2187.1204,646.7696,9949.375,0.096866354,3562.7776,2.9651937,13.273288
e183bb3d0,48000,17356800,4800,960.5983,81.81016,3885.9375,0.03334935,2131.799,5.699139,40.83671
422ed2c60,48000,17361600,4800,1651.2477,538.51337,7700.3125,0.052195102,2914.1655,3.8560963,22.87454
ec6320cc3,48000,17366400,4800,982.1732,38.490242,3135.3125,0.02323106,1811.2571,6.4829445,55.346004
366a95f9d,48000,17371200,4800,1283.184,95.56444,5372.1875,0.05060309,2495.9507,5.173784,35.842087
a82e64f0f,48000,17376000,4800,1464.6309,666.0647,6756.5625,0.06009468,2698.9836,4.266088,26.785414
5d996ea0b,48000,17380800,4800,883.4105,51.123104,2706.5625,0.027384961,1854.3615,7.1374235,64.13095
3d42cd934,48000,17385600,4800,2686.9866,1385.6051,10282.8125,0.066759035,3453.105,2.4066455,11.437341
5287ecb8d,48000,17390400,4800,1243.244,41.634563,4075.3125,0.017475624,1769.0946,5.215295,42.263737
